,idind,b2d,c3,c5,c6,c7,c7b,c8,i18,i19,job,wave,c2,c4_89,c5_89,c6_89,c7_89,i100,i101,i102,i103,wage89_imp,c8_cln,i19_cln,hhid,line,commid,t1,t2,t3,t4,t5
10340,232102020001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232102020.0,1.0,232102.0,23.0,2.0,1.0,2.0,20.0
10344,232102020002.0,,2.0,7.0,6.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232102020.0,2.0,232102.0,23.0,2.0,1.0,2.0,20.0
10353,232102081001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232102081.0,1.0,232102.0,23.0,2.0,1.0,2.0,81.0
10356,232102081002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232102081.0,2.0,232102.0,23.0,2.0,1.0,2.0,81.0
10363,232102082002.0,,2.0,7.0,8.0,35.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232102082.0,2.0,232102.0,23.0,2.0,1.0,2.0,82.0
10369,232102083001.0,,2.0,7.0,8.0,56.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232102083.0,1.0,232102.0,23.0,2.0,1.0,2.0,83.0
10400,232103002001.0,,2.0,7.0,8.0,84.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103002.0,1.0,232103.0,23.0,2.0,1.0,3.0,2.0
10401,232103002001.0,,3.0,7.0,12.0,84.0,1.0,1200.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,232103002.0,1.0,232103.0,23.0,2.0,1.0,3.0,2.0
10404,232103002002.0,,2.0,3.0,2.0,6.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103002.0,2.0,232103.0,23.0,2.0,1.0,3.0,2.0
10405,232103002002.0,,10.0,7.0,8.0,56.0,1.0,700.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,232103002.0,2.0,232103.0,23.0,2.0,1.0,3.0,2.0
10409,232103003001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103003.0,1.0,232103.0,23.0,2.0,1.0,3.0,3.0
10413,232103003002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103003.0,2.0,232103.0,23.0,2.0,1.0,3.0,3.0
10416,232103003003.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103003.0,3.0,232103.0,23.0,2.0,1.0,3.0,3.0
10418,232103003004.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103003.0,4.0,232103.0,23.0,2.0,1.0,3.0,3.0
10420,232103004001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103004.0,1.0,232103.0,23.0,2.0,1.0,3.0,4.0
10424,232103004002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103004.0,2.0,232103.0,23.0,2.0,1.0,3.0,4.0
10431,232103005001.0,2000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103005.0,1.0,232103.0,23.0,2.0,1.0,3.0,5.0
10434,232103006002.0,,1.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103006.0,2.0,232103.0,23.0,2.0,1.0,3.0,6.0
10436,232103006003.0,,1.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103006.0,3.0,232103.0,23.0,2.0,1.0,3.0,6.0
10440,232103006061.0,,1.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103006.0,61.0,232103.0,23.0,2.0,1.0,3.0,6.0
10445,232103007001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103007.0,1.0,232103.0,23.0,2.0,1.0,3.0,7.0
10449,232103007002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103007.0,2.0,232103.0,23.0,2.0,1.0,3.0,7.0
10457,232103009001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103009.0,1.0,232103.0,23.0,2.0,1.0,3.0,9.0
10460,232103009002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103009.0,2.0,232103.0,23.0,2.0,1.0,3.0,9.0
10464,232103010001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103010.0,1.0,232103.0,23.0,2.0,1.0,3.0,10.0
10468,232103010002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103010.0,2.0,232103.0,23.0,2.0,1.0,3.0,10.0
10472,232103011001.0,,1.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103011.0,1.0,232103.0,23.0,2.0,1.0,3.0,11.0
10473,232103011001.0,,11.0,1.0,2.0,14.0,1.0,1000.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,232103011.0,1.0,232103.0,23.0,2.0,1.0,3.0,11.0
10476,232103011002.0,,1.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,400.0,,,,232103011.0,2.0,232103.0,23.0,2.0,1.0,3.0,11.0
10477,232103011002.0,,11.0,7.0,2.0,14.0,1.0,800.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,232103011.0,2.0,232103.0,23.0,2.0,1.0,3.0,11.0
10480,232103013001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103013.0,1.0,232103.0,23.0,2.0,1.0,3.0,13.0
10481,232103013001.0,,12.0,7.0,9.0,63.0,1.0,1700.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,232103013.0,1.0,232103.0,23.0,2.0,1.0,3.0,13.0
10482,232103013002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103013.0,2.0,232103.0,23.0,2.0,1.0,3.0,13.0
10483,232103013002.0,,12.0,7.0,8.0,56.0,1.0,1200.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,232103013.0,2.0,232103.0,23.0,2.0,1.0,3.0,13.0
10484,232103013003.0,,3.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103013.0,3.0,232103.0,23.0,2.0,1.0,3.0,13.0
10495,232103014003.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103014.0,3.0,232103.0,23.0,2.0,1.0,3.0,14.0
10496,232103014121.0,,1.0,7.0,1.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,200.0,,,,232103014.0,121.0,232103.0,23.0,2.0,1.0,3.0,14.0
10498,232103015001.0,,6.0,7.0,10.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103015.0,1.0,232103.0,23.0,2.0,1.0,3.0,15.0
10502,232103015002.0,,1.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103015.0,2.0,232103.0,23.0,2.0,1.0,3.0,15.0
10506,232103015003.0,,6.0,7.0,10.0,70.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103015.0,3.0,232103.0,23.0,2.0,1.0,3.0,15.0
10507,232103015003.0,,5.0,3.0,7.0,70.0,1.0,3000.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,232103015.0,3.0,232103.0,23.0,2.0,1.0,3.0,15.0
10508,232103015121.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103015.0,121.0,232103.0,23.0,2.0,1.0,3.0,15.0
10511,232103016001.0,,2.0,7.0,8.0,56.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103016.0,1.0,232103.0,23.0,2.0,1.0,3.0,16.0
10512,232103016001.0,,10.0,7.0,8.0,56.0,1.0,1200.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,232103016.0,1.0,232103.0,23.0,2.0,1.0,3.0,16.0
10516,232103016002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103016.0,2.0,232103.0,23.0,2.0,1.0,3.0,16.0
10519,232103016003.0,,2.0,7.0,6.0,56.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103016.0,3.0,232103.0,23.0,2.0,1.0,3.0,16.0
10520,232103016003.0,,10.0,7.0,8.0,56.0,1.0,2500.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,232103016.0,3.0,232103.0,23.0,2.0,1.0,3.0,16.0
10524,232103020001.0,,2.0,7.0,8.0,56.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103020.0,1.0,232103.0,23.0,2.0,1.0,3.0,20.0
10526,232103020002.0,,2.0,7.0,8.0,56.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103020.0,2.0,232103.0,23.0,2.0,1.0,3.0,20.0
10527,232103020002.0,,10.0,7.0,9.0,63.0,1.0,1000.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,232103020.0,2.0,232103.0,23.0,2.0,1.0,3.0,20.0
10531,232103061001.0,,12.0,7.0,8.0,56.0,1.0,800.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103061.0,1.0,232103.0,23.0,2.0,1.0,3.0,61.0
10536,232103062002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,1.0,40000.0,0.0,,,,,232103062.0,2.0,232103.0,23.0,2.0,1.0,3.0,62.0
10549,232103081001.0,,3.0,7.0,8.0,56.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103081.0,1.0,232103.0,23.0,2.0,1.0,3.0,81.0
10550,232103081001.0,,12.0,7.0,9.0,63.0,1.0,1200.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,232103081.0,1.0,232103.0,23.0,2.0,1.0,3.0,81.0
10553,232103081002.0,,2.0,7.0,8.0,56.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232103081.0,2.0,232103.0,23.0,2.0,1.0,3.0,81.0
10554,232103081002.0,,12.0,7.0,9.0,63.0,1.0,1000.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,232103081.0,2.0,232103.0,23.0,2.0,1.0,3.0,81.0
10571,232104001002.0,,12.0,7.0,4.0,28.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104001.0,2.0,232104.0,23.0,2.0,1.0,4.0,1.0
10574,232104001003.0,,12.0,7.0,4.0,28.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104001.0,3.0,232104.0,23.0,2.0,1.0,4.0,1.0
10576,232104001004.0,,12.0,7.0,8.0,56.0,1.0,1800.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104001.0,4.0,232104.0,23.0,2.0,1.0,4.0,1.0
10589,232104004001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104004.0,1.0,232104.0,23.0,2.0,1.0,4.0,4.0
10594,232104004002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104004.0,2.0,232104.0,23.0,2.0,1.0,4.0,4.0
10598,232104005001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104005.0,1.0,232104.0,23.0,2.0,1.0,4.0,5.0
10601,232104005002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104005.0,2.0,232104.0,23.0,2.0,1.0,4.0,5.0
10604,232104008002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104008.0,2.0,232104.0,23.0,2.0,1.0,4.0,8.0
10609,232104010002.0,,12.0,7.0,10.0,70.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104010.0,2.0,232104.0,23.0,2.0,1.0,4.0,10.0
10620,232104013001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104013.0,1.0,232104.0,23.0,2.0,1.0,4.0,13.0
10624,232104013002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104013.0,2.0,232104.0,23.0,2.0,1.0,4.0,13.0
10635,232104014001.0,,12.0,7.0,5.0,35.0,1.0,4000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104014.0,1.0,232104.0,23.0,2.0,1.0,4.0,14.0
10641,232104014002.0,,1.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104014.0,2.0,232104.0,23.0,2.0,1.0,4.0,14.0
10649,232104015001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104015.0,1.0,232104.0,23.0,2.0,1.0,4.0,15.0
10654,232104015002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104015.0,2.0,232104.0,23.0,2.0,1.0,4.0,15.0
10658,232104016001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104016.0,1.0,232104.0,23.0,2.0,1.0,4.0,16.0
10662,232104019002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104019.0,2.0,232104.0,23.0,2.0,1.0,4.0,19.0
10668,232104061002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104061.0,2.0,232104.0,23.0,2.0,1.0,4.0,61.0
10676,232104063002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104063.0,2.0,232104.0,23.0,2.0,1.0,4.0,63.0
10681,232104064001.0,,6.0,7.0,6.0,42.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104064.0,1.0,232104.0,23.0,2.0,1.0,4.0,64.0
10685,232104064002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104064.0,2.0,232104.0,23.0,2.0,1.0,4.0,64.0
10690,232104082001.0,,2.0,7.0,9.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104082.0,1.0,232104.0,23.0,2.0,1.0,4.0,82.0
10694,232104082002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104082.0,2.0,232104.0,23.0,2.0,1.0,4.0,82.0
10697,232104082004.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104082.0,4.0,232104.0,23.0,2.0,1.0,4.0,82.0
10702,232104083002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104083.0,2.0,232104.0,23.0,2.0,1.0,4.0,83.0
10707,232104085001.0,,2.0,7.0,8.0,56.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104085.0,1.0,232104.0,23.0,2.0,1.0,4.0,85.0
10710,232104085002.0,,2.0,7.0,8.0,56.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104085.0,2.0,232104.0,23.0,2.0,1.0,4.0,85.0
10713,232104086001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104086.0,1.0,232104.0,23.0,2.0,1.0,4.0,86.0
10714,232104086001.0,,3.0,7.0,10.0,0.0,0.0,,,,2.0,2009.0,2.0,,,,,,,,,,,,232104086.0,1.0,232104.0,23.0,2.0,1.0,4.0,86.0
10716,232104086002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104086.0,2.0,232104.0,23.0,2.0,1.0,4.0,86.0
10717,232104086002.0,,3.0,7.0,10.0,0.0,0.0,,,,2.0,2009.0,2.0,,,,,,,,,,,,232104086.0,2.0,232104.0,23.0,2.0,1.0,4.0,86.0
10719,232104121001.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104121.0,1.0,232104.0,23.0,2.0,1.0,4.0,121.0
10720,232104121001.0,,6.0,7.0,12.0,0.0,0.0,,,,2.0,2009.0,2.0,,,,,,,,,,,,232104121.0,1.0,232104.0,23.0,2.0,1.0,4.0,121.0
10724,232104121002.0,,2.0,7.0,8.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232104121.0,2.0,232104.0,23.0,2.0,1.0,4.0,121.0
10756,232202001001.0,,5.0,5.0,10.0,50.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202001.0,1.0,232202.0,23.0,2.0,2.0,2.0,1.0
10764,232202004001.0,,5.0,7.0,10.0,70.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202004.0,1.0,232202.0,23.0,2.0,2.0,2.0,4.0
10768,232202004002.0,,12.0,2.0,4.0,8.0,1.0,200.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202004.0,2.0,232202.0,23.0,2.0,2.0,2.0,4.0
10769,232202004002.0,,2.0,3.0,10.0,30.0,1.0,200.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,232202004.0,2.0,232202.0,23.0,2.0,2.0,2.0,4.0
10772,232202005003.0,,5.0,5.0,6.0,30.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202005.0,3.0,232202.0,23.0,2.0,2.0,2.0,5.0
10778,232202007001.0,,6.0,7.0,10.0,70.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202007.0,1.0,232202.0,23.0,2.0,2.0,2.0,7.0
10782,232202007002.0,,6.0,7.0,10.0,70.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202007.0,2.0,232202.0,23.0,2.0,2.0,2.0,7.0
10787,232202008001.0,,5.0,6.0,10.0,60.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202008.0,1.0,232202.0,23.0,2.0,2.0,2.0,8.0
10788,232202008001.0,,12.0,6.0,2.0,12.0,0.0,,,,2.0,2009.0,2.0,,,,,,,,,,,,232202008.0,1.0,232202.0,23.0,2.0,2.0,2.0,8.0
10793,232202008002.0,,5.0,6.0,7.0,42.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202008.0,2.0,232202.0,23.0,2.0,2.0,2.0,8.0
10794,232202008002.0,,12.0,7.0,3.0,21.0,0.0,,,,2.0,2009.0,2.0,,,,,,,,,,,,232202008.0,2.0,232202.0,23.0,2.0,2.0,2.0,8.0
10799,232202011001.0,,6.0,7.0,9.0,63.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202011.0,1.0,232202.0,23.0,2.0,2.0,2.0,11.0
10804,232202011002.0,,5.0,7.0,6.0,42.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202011.0,2.0,232202.0,23.0,2.0,2.0,2.0,11.0
10808,232202011003.0,,6.0,5.0,10.0,50.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202011.0,3.0,232202.0,23.0,2.0,2.0,2.0,11.0
10821,232202013001.0,,12.0,7.0,12.0,84.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202013.0,1.0,232202.0,23.0,2.0,2.0,2.0,13.0
10826,232202013002.0,,12.0,7.0,10.0,70.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202013.0,2.0,232202.0,23.0,2.0,2.0,2.0,13.0
10834,232202014002.0,,4.0,6.0,6.0,36.0,0.0,,,,1.0,2009.0,1.0,,,,,1.0,200.0,0.0,,,,,232202014.0,2.0,232202.0,23.0,2.0,2.0,2.0,14.0
10841,232202016001.0,,6.0,6.0,6.0,36.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202016.0,1.0,232202.0,23.0,2.0,2.0,2.0,16.0
10844,232202016002.0,,5.0,6.0,6.0,36.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202016.0,2.0,232202.0,23.0,2.0,2.0,2.0,16.0
10850,232202018001.0,,5.0,5.0,7.0,20.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,1000.0,,,,232202018.0,1.0,232202.0,23.0,2.0,2.0,2.0,18.0
10853,232202018002.0,,5.0,5.0,7.0,35.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,1000.0,,,,232202018.0,2.0,232202.0,23.0,2.0,2.0,2.0,18.0
10868,232202020002.0,,5.0,6.0,5.0,30.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,2000.0,,,,232202020.0,2.0,232202.0,23.0,2.0,2.0,2.0,20.0
10881,232202081001.0,,5.0,5.0,8.0,40.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202081.0,1.0,232202.0,23.0,2.0,2.0,2.0,81.0
10888,232202089001.0,,5.0,7.0,10.0,70.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202089.0,1.0,232202.0,23.0,2.0,2.0,2.0,89.0
10892,232202089002.0,,5.0,7.0,10.0,70.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202089.0,2.0,232202.0,23.0,2.0,2.0,2.0,89.0
10895,232202101001.0,,2.0,5.0,10.0,50.0,0.0,,,,1.0,2009.0,1.0,,,,,1.0,1000.0,1.0,200.0,,,,232202101.0,1.0,232202.0,23.0,2.0,2.0,2.0,101.0
10898,232202102001.0,,12.0,6.0,8.0,48.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202102.0,1.0,232202.0,23.0,2.0,2.0,2.0,102.0
10899,232202102001.0,,3.0,1.0,2.0,2.0,0.0,,,,2.0,2009.0,2.0,,,,,,,,,,,,232202102.0,1.0,232202.0,23.0,2.0,2.0,2.0,102.0
10902,232202102002.0,,5.0,6.0,8.0,15.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202102.0,2.0,232202.0,23.0,2.0,2.0,2.0,102.0
10907,232202103002.0,,4.0,7.0,5.0,35.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202103.0,2.0,232202.0,23.0,2.0,2.0,2.0,103.0
10911,232202104001.0,,5.0,7.0,12.0,84.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202104.0,1.0,232202.0,23.0,2.0,2.0,2.0,104.0
10912,232202104001.0,,12.0,7.0,2.0,14.0,0.0,,,,2.0,2009.0,2.0,,,,,,,,,,,,232202104.0,1.0,232202.0,23.0,2.0,2.0,2.0,104.0
10916,232202121001.0,,6.0,5.0,8.0,40.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202121.0,1.0,232202.0,23.0,2.0,2.0,2.0,121.0
10918,232202121002.0,,6.0,5.0,8.0,40.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232202121.0,2.0,232202.0,23.0,2.0,2.0,2.0,121.0
10928,232203001001.0,,3.0,5.0,4.0,12.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232203001.0,1.0,232203.0,23.0,2.0,2.0,3.0,1.0
10935,232203003001.0,,5.0,7.0,8.0,56.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232203003.0,1.0,232203.0,23.0,2.0,2.0,3.0,3.0
10944,232203005001.0,,3.0,5.0,4.0,20.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232203005.0,1.0,232203.0,23.0,2.0,2.0,3.0,5.0
10955,232203009001.0,,3.0,7.0,5.0,35.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232203009.0,1.0,232203.0,23.0,2.0,2.0,3.0,9.0
10959,232203009002.0,,3.0,7.0,5.0,35.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232203009.0,2.0,232203.0,23.0,2.0,2.0,3.0,9.0
10965,232203010001.0,,12.0,7.0,8.0,56.0,1.0,1700.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232203010.0,1.0,232203.0,23.0,2.0,2.0,3.0,10.0
10970,232203010002.0,,12.0,7.0,10.0,70.0,1.0,1700.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232203010.0,2.0,232203.0,23.0,2.0,2.0,3.0,10.0
10973,232203011002.0,,3.0,3.0,4.0,12.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232203011.0,2.0,232203.0,23.0,2.0,2.0,3.0,11.0
10978,232203012001.0,,8.0,7.0,10.0,70.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232203012.0,1.0,232203.0,23.0,2.0,2.0,3.0,12.0
10979,232203012001.0,,2.0,3.0,4.0,10.0,0.0,,,,2.0,2009.0,2.0,,,,,,,,,,,,232203012.0,1.0,232203.0,23.0,2.0,2.0,3.0,12.0
10982,232203012002.0,,3.0,4.0,5.0,20.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232203012.0,2.0,232203.0,23.0,2.0,2.0,3.0,12.0
11002,232203014002.0,,3.0,4.0,5.0,20.0,0.0,,,,1.0,2009.0,1.0,,,,,1.0,1000.0,1.0,500.0,,,,232203014.0,2.0,232203.0,23.0,2.0,2.0,3.0,14.0
11010,232203015001.0,,3.0,3.0,5.0,15.0,0.0,,,,1.0,2009.0,1.0,,,,,1.0,1000.0,1.0,750.0,,,,232203015.0,1.0,232203.0,23.0,2.0,2.0,3.0,15.0
11012,232203015002.0,,1.0,3.0,4.0,10.0,0.0,,,,1.0,2009.0,1.0,,,,,1.0,1000.0,1.0,750.0,,,,232203015.0,2.0,232203.0,23.0,2.0,2.0,3.0,15.0
11021,232203017001.0,,10.0,7.0,12.0,84.0,1.0,1900.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,232203017.0,1.0,232203.0,23.0,2.0,2.0,3.0,17.0
