,idind_m,idind_c,gender,s57,cprel,west_dob_y,moon_dob_y,s56
797,212103004004.0,212103004102.0,1.0,,,1998.0,1998.0,
798,212103005002.0,212103005004.0,1.0,,1.0,1972.0,1972.0,
799,212103005002.0,212103005005.0,1.0,,1.0,1974.0,1974.0,
800,212103007031.0,212103007032.0,2.0,,,1993.0,1993.0,
801,212103007031.0,212103007061.0,2.0,,,1998.0,1997.0,
802,212103008002.0,212103008003.0,2.0,,,1988.0,1988.0,
803,212103008002.0,212103008004.0,2.0,,,1992.0,1992.0,
804,212103010002.0,212103010003.0,2.0,,,1975.0,1975.0,
805,212103010002.0,212103010005.0,2.0,,,1980.0,1980.0,
806,212103010002.0,212103085002.0,2.0,,,1977.0,1977.0,
807,212103011002.0,212103011003.0,2.0,,,1978.0,1978.0,
808,212103011002.0,212103011004.0,1.0,,,1986.0,1985.0,
809,212103012002.0,212103012004.0,2.0,,1.0,1975.0,1975.0,
810,212103012002.0,212103063001.0,1.0,,1.0,1971.0,1971.0,
811,212103012004.0,212103012801.0,1.0,,,2000.0,,
812,212103013002.0,212103013003.0,1.0,,1.0,1973.0,1973.0,
813,212103013061.0,212103013062.0,2.0,,,1999.0,1999.0,
814,212103014002.0,212103014003.0,1.0,,,1981.0,1981.0,
815,212103015002.0,212103015003.0,1.0,,,1979.0,1979.0,
816,212103016002.0,212103016003.0,1.0,,,1982.0,1982.0,
817,212103018003.0,212103018004.0,1.0,,,1978.0,1978.0,
