,idind,f2a,f4a,f4b,f4c,f5,f6,f7,f8,f9,f10,wave,f4d,f4,hhid,line,commid,t1,t2,t3,t4,t5
687,212203012001.0,1.0,11.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212203012.0,1.0,212203.0,21.0,2.0,2.0,3.0,12.0
692,212203012002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212203012.0,2.0,212203.0,21.0,2.0,2.0,3.0,12.0
716,212203015002.0,1.0,4.0,3.0,2.0,2.0,,,,,1.0,2009.0,,,212203015.0,2.0,212203.0,21.0,2.0,2.0,3.0,15.0
724,212203018002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212203018.0,2.0,212203.0,21.0,2.0,2.0,3.0,18.0
739,212203061002.0,1.0,7.0,5.0,1.0,2.0,,,,,1.0,2009.0,,,212203061.0,2.0,212203.0,21.0,2.0,2.0,3.0,61.0
745,212203063002.0,1.0,6.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212203063.0,2.0,212203.0,21.0,2.0,2.0,3.0,63.0
758,212203083002.0,1.0,6.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212203083.0,2.0,212203.0,21.0,2.0,2.0,3.0,83.0
765,212203123001.0,1.0,1.0,1.0,2.0,2.0,,,,,1.0,2009.0,,,212203123.0,1.0,212203.0,21.0,2.0,2.0,3.0,123.0
766,212203123002.0,1.0,2.0,2.0,1.0,2.0,,,,,1.0,2009.0,,,212203123.0,2.0,212203.0,21.0,2.0,2.0,3.0,123.0
784,212204004002.0,1.0,8.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,212204004.0,2.0,212204.0,21.0,2.0,2.0,4.0,4.0
791,212204005002.0,1.0,5.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212204005.0,2.0,212204.0,21.0,2.0,2.0,4.0,5.0
810,212204008002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212204008.0,2.0,212204.0,21.0,2.0,2.0,4.0,8.0
827,212204010002.0,1.0,8.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212204010.0,2.0,212204.0,21.0,2.0,2.0,4.0,10.0
833,212204011002.0,1.0,5.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212204011.0,2.0,212204.0,21.0,2.0,2.0,4.0,11.0
865,212204018002.0,1.0,7.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,212204018.0,2.0,212204.0,21.0,2.0,2.0,4.0,18.0
872,212204020002.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212204020.0,2.0,212204.0,21.0,2.0,2.0,4.0,20.0
888,212204121002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212204121.0,2.0,212204.0,21.0,2.0,2.0,4.0,121.0
894,212302001001.0,1.0,12.0,7.0,8.0,2.0,,,,,1.0,2009.0,,,212302001.0,1.0,212302.0,21.0,2.0,3.0,2.0,1.0
901,212302001002.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,212302001.0,2.0,212302.0,21.0,2.0,3.0,2.0,1.0
910,212302003001.0,1.0,12.0,7.0,6.0,2.0,,,,,1.0,2009.0,,,212302003.0,1.0,212302.0,21.0,2.0,3.0,2.0,3.0
924,212302006002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212302006.0,2.0,212302.0,21.0,2.0,3.0,2.0,6.0
931,212302007002.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,212302007.0,2.0,212302.0,21.0,2.0,3.0,2.0,7.0
948,212302009001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212302009.0,1.0,212302.0,21.0,2.0,3.0,2.0,9.0
952,212302010001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212302010.0,1.0,212302.0,21.0,2.0,3.0,2.0,10.0
987,212302014002.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212302014.0,2.0,212302.0,21.0,2.0,3.0,2.0,14.0
994,212302016006.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,212302016.0,6.0,212302.0,21.0,2.0,3.0,2.0,16.0
