,idind,Sex
173,2.11201E+11,0
174,2.11201E+11,1
175,2.11201E+11,1
176,2.11201E+11,0
177,2.11201E+11,0
178,2.11201E+11,1
179,2.11201E+11,0
180,2.11201E+11,1
181,2.11201E+11,0
182,2.11201E+11,1
183,2.11201E+11,0
184,2.11202E+11,1
185,2.11202E+11,0
186,2.11202E+11,0
187,2.11202E+11,1
188,2.11202E+11,0
189,2.11202E+11,1
190,2.11202E+11,0
191,2.11202E+11,0
192,2.11202E+11,1
193,2.11202E+11,0
194,2.11202E+11,0
195,2.11202E+11,1
196,2.11202E+11,0
197,2.11202E+11,1
198,2.11202E+11,0
199,2.11202E+11,1
200,2.11202E+11,0
201,2.11202E+11,1
202,2.11202E+11,0
203,2.11202E+11,1
204,2.11202E+11,0
205,2.11202E+11,1
206,2.11202E+11,0
207,2.11202E+11,1
208,2.11203E+11,1
209,2.11203E+11,0
210,2.11203E+11,1
211,2.11203E+11,0
212,2.11203E+11,1
213,2.11203E+11,0
214,2.11203E+11,1
215,2.11203E+11,1
216,2.11203E+11,1
217,2.11203E+11,0
218,2.11203E+11,1
219,2.11203E+11,0
220,2.11203E+11,1
221,2.11203E+11,0
222,2.11203E+11,1
223,2.11203E+11,0
224,2.11203E+11,1
225,2.11203E+11,0
226,2.11203E+11,1
227,2.11203E+11,0
228,2.11203E+11,1
229,2.11203E+11,1
230,2.11203E+11,0
231,2.11203E+11,1
232,2.11203E+11,0
233,2.11203E+11,1
234,2.11203E+11,0
235,2.11203E+11,1
236,2.11203E+11,0
237,2.11203E+11,1
238,2.11203E+11,0
239,2.11203E+11,1
240,2.11203E+11,0
241,2.11203E+11,1
242,2.11203E+11,1
243,2.11203E+11,0
244,2.11203E+11,1
245,2.11203E+11,0
246,2.11203E+11,1
247,2.11203E+11,1
248,2.11203E+11,0
249,2.11203E+11,1
250,2.11203E+11,0
251,2.11203E+11,1
252,2.11204E+11,1
253,2.11204E+11,0
254,2.11204E+11,0
255,2.11204E+11,1
256,2.11204E+11,1
257,2.11204E+11,1
258,2.11204E+11,0
259,2.11204E+11,0
260,2.11204E+11,1
261,2.11204E+11,1
262,2.11204E+11,0
263,2.11204E+11,1
264,2.11204E+11,0
265,2.11204E+11,0
266,2.11204E+11,1
267,2.11204E+11,1
268,2.11204E+11,0
269,2.11204E+11,1
270,2.11204E+11,1
271,2.11204E+11,0
272,2.11204E+11,
273,2.11204E+11,1
274,2.11204E+11,0
275,2.11204E+11,1
276,2.11204E+11,0
277,2.11204E+11,1
278,2.11204E+11,0
279,2.11204E+11,
280,2.11204E+11,1
281,2.11204E+11,0
282,2.11204E+11,1
283,2.11204E+11,0
284,2.11204E+11,1
285,2.11204E+11,1
286,2.11204E+11,0
287,2.11204E+11,1
288,2.11204E+11,0
289,2.11204E+11,0
290,2.11204E+11,1
291,2.11204E+11,0
292,2.11208E+11,0
293,2.11208E+11,0
294,2.11208E+11,1
295,2.11208E+11,0
296,2.11208E+11,1
297,2.11208E+11,0
298,2.11208E+11,1
299,2.11208E+11,1
300,2.11208E+11,0
301,2.11208E+11,1
302,2.11208E+11,0
303,2.11208E+11,1
304,2.11208E+11,1
305,2.11208E+11,0
306,2.11208E+11,0
307,2.11208E+11,1
308,2.11208E+11,0
309,2.11208E+11,1
310,2.11208E+11,0
311,2.11208E+11,1
312,2.11208E+11,0
313,2.11208E+11,1
314,2.11208E+11,0
315,2.11208E+11,1
316,2.11208E+11,0
317,2.11208E+11,1
318,2.11208E+11,0
319,2.11208E+11,1
320,2.11208E+11,0
321,2.11208E+11,0
322,2.11208E+11,1
323,2.11208E+11,0
324,2.11208E+11,1
325,2.11208E+11,0
326,2.11208E+11,1
327,2.11208E+11,0
328,2.11208E+11,1
329,2.11208E+11,1
330,2.11208E+11,0
331,2.11208E+11,1
332,2.11208E+11,0
333,2.11208E+11,1
334,2.11208E+11,0
335,2.11208E+11,
336,2.11208E+11,1
337,2.11208E+11,0
338,2.12101E+11,1
339,2.12101E+11,0
340,2.12101E+11,1
341,2.12101E+11,0
342,2.12101E+11,0
343,2.12101E+11,0
344,2.12101E+11,0
345,2.12101E+11,0
346,2.12101E+11,1
347,2.12101E+11,1
348,2.12101E+11,0
349,2.12101E+11,1
350,2.12101E+11,1
351,2.12101E+11,0
352,2.12101E+11,0
353,2.12101E+11,0
354,2.12101E+11,1
355,2.12101E+11,1
356,2.12101E+11,0
357,2.12101E+11,1
358,2.12101E+11,0
359,2.12101E+11,1
360,2.12101E+11,0
361,2.12101E+11,1
362,2.12101E+11,1
363,2.12101E+11,0
364,2.12101E+11,1
365,2.12101E+11,0
366,2.12101E+11,1
367,2.12101E+11,0
368,2.12101E+11,0
369,2.12101E+11,1
370,2.12101E+11,0
371,2.12101E+11,0
372,2.12101E+11,1
373,2.12101E+11,0
374,2.12101E+11,0
375,2.12102E+11,1
376,2.12102E+11,0
377,2.12102E+11,1
378,2.12102E+11,0
379,2.12102E+11,1
380,2.12102E+11,0
381,2.12102E+11,1
382,2.12102E+11,0
383,2.12102E+11,1
384,2.12102E+11,0
385,2.12102E+11,1
386,2.12102E+11,0
387,2.12102E+11,1
388,2.12102E+11,0
389,2.12102E+11,0
390,2.12102E+11,0
391,2.12102E+11,1
392,2.12102E+11,0
393,2.12102E+11,1
394,2.12102E+11,1
395,2.12102E+11,0
396,2.12102E+11,1
397,2.12102E+11,0
398,2.12102E+11,0
399,2.12102E+11,0
400,2.12102E+11,1
401,2.12102E+11,0
402,2.12102E+11,0
403,2.12102E+11,1
404,2.12102E+11,0
405,2.12102E+11,1
406,2.12102E+11,1
407,2.12102E+11,0
408,2.12102E+11,1
409,2.12102E+11,0
410,2.12102E+11,1
411,2.12102E+11,0
412,2.12102E+11,1
413,2.12102E+11,0
414,2.12102E+11,1
415,2.12102E+11,0
416,2.12102E+11,1
417,2.12102E+11,1
