,idind,k2,k3,k4,k5,k6,k7,k7b,k7c,k12,k13,k13b,k13c,wave,k7d,k3a,k5a,k7a,k13a,k8,k9,k10,k11,hhid,line,commid,t1,t2,t3,t4,t5,k6a,k6b
15963,232102019001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232102019.0,1.0,232102.0,23.0,2.0,1.0,2.0,19.0,,
15970,232102019002.0,1.0,30.0,1.0,90.0,1.0,60.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232102019.0,2.0,232102.0,23.0,2.0,1.0,2.0,19.0,,
15982,232102020001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232102020.0,1.0,232102.0,23.0,2.0,1.0,2.0,20.0,,
15989,232102020002.0,1.0,30.0,1.0,90.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,232102020.0,2.0,232102.0,23.0,2.0,1.0,2.0,20.0,,
15995,232102020003.0,0.0,,0.0,,0.0,,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,232102020.0,3.0,232102.0,23.0,2.0,1.0,2.0,20.0,,
15999,232102081001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232102081.0,1.0,232102.0,23.0,2.0,1.0,2.0,81.0,,
16004,232102081002.0,1.0,20.0,1.0,60.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232102081.0,2.0,232102.0,23.0,2.0,1.0,2.0,81.0,,
16012,232102082002.0,1.0,10.0,1.0,180.0,1.0,40.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232102082.0,2.0,232102.0,23.0,2.0,1.0,2.0,82.0,,
16015,232102082003.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232102082.0,3.0,232102.0,23.0,2.0,1.0,2.0,82.0,,
16020,232102083001.0,1.0,10.0,1.0,90.0,1.0,30.0,1.0,30.0,1.0,14.0,0.0,,2009.0,,,,,,,,,,232102083.0,1.0,232102.0,23.0,2.0,1.0,2.0,83.0,,
16024,232102083003.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232102083.0,3.0,232102.0,23.0,2.0,1.0,2.0,83.0,,
16058,232103002001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103002.0,1.0,232103.0,23.0,2.0,1.0,3.0,2.0,,
16063,232103002002.0,1.0,10.0,1.0,60.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103002.0,2.0,232103.0,23.0,2.0,1.0,3.0,2.0,,
16068,232103002003.0,1.0,10.0,0.0,,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103002.0,3.0,232103.0,23.0,2.0,1.0,3.0,2.0,,
16072,232103003001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103003.0,1.0,232103.0,23.0,2.0,1.0,3.0,3.0,,
16079,232103003002.0,1.0,20.0,1.0,30.0,1.0,40.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232103003.0,2.0,232103.0,23.0,2.0,1.0,3.0,3.0,,
16084,232103003003.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103003.0,3.0,232103.0,23.0,2.0,1.0,3.0,3.0,,
16088,232103003004.0,1.0,20.0,1.0,40.0,1.0,40.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232103003.0,4.0,232103.0,23.0,2.0,1.0,3.0,3.0,,
16093,232103004001.0,1.0,30.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103004.0,1.0,232103.0,23.0,2.0,1.0,3.0,4.0,,
16100,232103004002.0,1.0,20.0,1.0,40.0,1.0,40.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103004.0,2.0,232103.0,23.0,2.0,1.0,3.0,4.0,,
16107,232103004003.0,1.0,20.0,1.0,60.0,1.0,20.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103004.0,3.0,232103.0,23.0,2.0,1.0,3.0,4.0,,
16109,232103004004.0,1.0,10.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103004.0,4.0,232103.0,23.0,2.0,1.0,3.0,4.0,,
16116,232103005001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103005.0,1.0,232103.0,23.0,2.0,1.0,3.0,5.0,,
16123,232103005002.0,1.0,30.0,1.0,40.0,1.0,40.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103005.0,2.0,232103.0,23.0,2.0,1.0,3.0,5.0,,
16129,232103006001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103006.0,1.0,232103.0,23.0,2.0,1.0,3.0,6.0,,
16136,232103006002.0,0.0,,1.0,30.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103006.0,2.0,232103.0,23.0,2.0,1.0,3.0,6.0,,
16142,232103006003.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103006.0,3.0,232103.0,23.0,2.0,1.0,3.0,6.0,,
16148,232103006061.0,1.0,20.0,1.0,40.0,1.0,40.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232103006.0,61.0,232103.0,23.0,2.0,1.0,3.0,6.0,,
16153,232103006062.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103006.0,62.0,232103.0,23.0,2.0,1.0,3.0,6.0,,
16158,232103007001.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103007.0,1.0,232103.0,23.0,2.0,1.0,3.0,7.0,,
16165,232103007002.0,1.0,20.0,1.0,30.0,1.0,30.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232103007.0,2.0,232103.0,23.0,2.0,1.0,3.0,7.0,,
16170,232103007003.0,1.0,20.0,0.0,,0.0,,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103007.0,3.0,232103.0,23.0,2.0,1.0,3.0,7.0,,
16176,232103008001.0,1.0,30.0,1.0,60.0,1.0,40.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103008.0,1.0,232103.0,23.0,2.0,1.0,3.0,8.0,,
16186,232103009001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103009.0,1.0,232103.0,23.0,2.0,1.0,3.0,9.0,,
16193,232103009002.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103009.0,2.0,232103.0,23.0,2.0,1.0,3.0,9.0,,
16200,232103010001.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103010.0,1.0,232103.0,23.0,2.0,1.0,3.0,10.0,,
16207,232103010002.0,1.0,20.0,1.0,60.0,1.0,20.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103010.0,2.0,232103.0,23.0,2.0,1.0,3.0,10.0,,
16211,232103010003.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103010.0,3.0,232103.0,23.0,2.0,1.0,3.0,10.0,,
16215,232103011001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103011.0,1.0,232103.0,23.0,2.0,1.0,3.0,11.0,,
16222,232103011002.0,1.0,20.0,1.0,90.0,1.0,20.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103011.0,2.0,232103.0,23.0,2.0,1.0,3.0,11.0,,
16233,232103013001.0,1.0,30.0,0.0,,0.0,,0.0,,1.0,20.0,0.0,,2009.0,,,,,,,,,,232103013.0,1.0,232103.0,23.0,2.0,1.0,3.0,13.0,,
16235,232103013002.0,1.0,30.0,1.0,90.0,1.0,30.0,1.0,30.0,1.0,14.0,0.0,,2009.0,,,,,,,,,,232103013.0,2.0,232103.0,23.0,2.0,1.0,3.0,13.0,,
16237,232103013003.0,0.0,,0.0,,0.0,,0.0,,1.0,7.0,0.0,,2009.0,,,,,,,,,,232103013.0,3.0,232103.0,23.0,2.0,1.0,3.0,13.0,,
16239,232103013121.0,1.0,30.0,1.0,90.0,1.0,30.0,1.0,30.0,1.0,56.0,0.0,,2009.0,,,,,,,,,,232103013.0,121.0,232103.0,23.0,2.0,1.0,3.0,13.0,,
16245,232103014001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103014.0,1.0,232103.0,23.0,2.0,1.0,3.0,14.0,,
16252,232103014002.0,1.0,10.0,1.0,90.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103014.0,2.0,232103.0,23.0,2.0,1.0,3.0,14.0,,
16257,232103014003.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103014.0,3.0,232103.0,23.0,2.0,1.0,3.0,14.0,,
16258,232103014121.0,1.0,30.0,1.0,90.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103014.0,121.0,232103.0,23.0,2.0,1.0,3.0,14.0,,
16261,232103015001.0,1.0,10.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103015.0,1.0,232103.0,23.0,2.0,1.0,3.0,15.0,,
16268,232103015002.0,1.0,25.0,1.0,90.0,1.0,30.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232103015.0,2.0,232103.0,23.0,2.0,1.0,3.0,15.0,,
16273,232103015003.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103015.0,3.0,232103.0,23.0,2.0,1.0,3.0,15.0,,
16274,232103015121.0,0.0,,1.0,90.0,1.0,30.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232103015.0,121.0,232103.0,23.0,2.0,1.0,3.0,15.0,,
16277,232103016001.0,1.0,10.0,0.0,,1.0,20.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,232103016.0,1.0,232103.0,23.0,2.0,1.0,3.0,16.0,,
16282,232103016002.0,1.0,20.0,1.0,90.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103016.0,2.0,232103.0,23.0,2.0,1.0,3.0,16.0,,
16286,232103016003.0,1.0,10.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103016.0,3.0,232103.0,23.0,2.0,1.0,3.0,16.0,,
16303,232103020001.0,0.0,,0.0,,1.0,20.0,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103020.0,1.0,232103.0,23.0,2.0,1.0,3.0,20.0,,
16308,232103020002.0,1.0,30.0,1.0,40.0,1.0,90.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,232103020.0,2.0,232103.0,23.0,2.0,1.0,3.0,20.0,,
16311,232103020003.0,0.0,,0.0,,1.0,40.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232103020.0,3.0,232103.0,23.0,2.0,1.0,3.0,20.0,,
16315,232103061001.0,1.0,10.0,1.0,30.0,1.0,30.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232103061.0,1.0,232103.0,23.0,2.0,1.0,3.0,61.0,,
16324,232103062002.0,1.0,20.0,1.0,60.0,1.0,30.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232103062.0,2.0,232103.0,23.0,2.0,1.0,3.0,62.0,,
16328,232103063001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103063.0,1.0,232103.0,23.0,2.0,1.0,3.0,63.0,,
16333,232103063002.0,1.0,20.0,1.0,60.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232103063.0,2.0,232103.0,23.0,2.0,1.0,3.0,63.0,,
16339,232103064001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103064.0,1.0,232103.0,23.0,2.0,1.0,3.0,64.0,,
16343,232103064002.0,0.0,,1.0,60.0,0.0,,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232103064.0,2.0,232103.0,23.0,2.0,1.0,3.0,64.0,,
16347,232103064003.0,1.0,30.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103064.0,3.0,232103.0,23.0,2.0,1.0,3.0,64.0,,
16353,232103064004.0,0.0,,0.0,,1.0,40.0,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232103064.0,4.0,232103.0,23.0,2.0,1.0,3.0,64.0,,
16357,232103081001.0,1.0,15.0,0.0,,0.0,,0.0,,1.0,2.0,0.0,,2009.0,,,,,,,,,,232103081.0,1.0,232103.0,23.0,2.0,1.0,3.0,81.0,,
16361,232103081002.0,1.0,30.0,1.0,90.0,1.0,30.0,1.0,40.0,1.0,6.0,0.0,,2009.0,,,,,,,,,,232103081.0,2.0,232103.0,23.0,2.0,1.0,3.0,81.0,,
16381,232104001001.0,0.0,,1.0,40.0,0.0,,1.0,50.0,0.0,,0.0,,2009.0,,,,,,,,,,232104001.0,1.0,232104.0,23.0,2.0,1.0,4.0,1.0,,
16385,232104001002.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104001.0,2.0,232104.0,23.0,2.0,1.0,4.0,1.0,,
16390,232104001003.0,1.0,40.0,1.0,90.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,232104001.0,3.0,232104.0,23.0,2.0,1.0,4.0,1.0,,
16395,232104001004.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104001.0,4.0,232104.0,23.0,2.0,1.0,4.0,1.0,,
16410,232104003002.0,1.0,20.0,1.0,60.0,1.0,30.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,232104003.0,2.0,232104.0,23.0,2.0,1.0,4.0,3.0,,
16414,232104003003.0,0.0,,0.0,,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104003.0,3.0,232104.0,23.0,2.0,1.0,4.0,3.0,,
16420,232104004001.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104004.0,1.0,232104.0,23.0,2.0,1.0,4.0,4.0,,
16427,232104004002.0,1.0,20.0,1.0,60.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104004.0,2.0,232104.0,23.0,2.0,1.0,4.0,4.0,,
16433,232104004081.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104004.0,81.0,232104.0,23.0,2.0,1.0,4.0,4.0,,
16439,232104005001.0,1.0,30.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104005.0,1.0,232104.0,23.0,2.0,1.0,4.0,5.0,,
16445,232104005002.0,1.0,30.0,1.0,90.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104005.0,2.0,232104.0,23.0,2.0,1.0,4.0,5.0,,
16467,232104008001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104008.0,1.0,232104.0,23.0,2.0,1.0,4.0,8.0,,
16472,232104008002.0,1.0,30.0,1.0,90.0,1.0,30.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,232104008.0,2.0,232104.0,23.0,2.0,1.0,4.0,8.0,,
16486,232104010002.0,1.0,20.0,1.0,60.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104010.0,2.0,232104.0,23.0,2.0,1.0,4.0,10.0,,
16512,232104013001.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104013.0,1.0,232104.0,23.0,2.0,1.0,4.0,13.0,,
16519,232104013002.0,1.0,20.0,1.0,60.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104013.0,2.0,232104.0,23.0,2.0,1.0,4.0,13.0,,
16533,232104014001.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104014.0,1.0,232104.0,23.0,2.0,1.0,4.0,14.0,,
16539,232104014002.0,1.0,20.0,1.0,60.0,1.0,30.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232104014.0,2.0,232104.0,23.0,2.0,1.0,4.0,14.0,,
16553,232104015001.0,1.0,20.0,1.0,40.0,1.0,20.0,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104015.0,1.0,232104.0,23.0,2.0,1.0,4.0,15.0,,
16560,232104015002.0,1.0,20.0,1.0,60.0,1.0,30.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232104015.0,2.0,232104.0,23.0,2.0,1.0,4.0,15.0,,
16570,232104016001.0,1.0,30.0,1.0,90.0,1.0,40.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104016.0,1.0,232104.0,23.0,2.0,1.0,4.0,16.0,,
16579,232104018001.0,1.0,40.0,1.0,80.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104018.0,1.0,232104.0,23.0,2.0,1.0,4.0,18.0,,
16585,232104019001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104019.0,1.0,232104.0,23.0,2.0,1.0,4.0,19.0,,
16591,232104019002.0,1.0,15.0,1.0,90.0,1.0,30.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232104019.0,2.0,232104.0,23.0,2.0,1.0,4.0,19.0,,
16604,232104061002.0,1.0,20.0,1.0,30.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104061.0,2.0,232104.0,23.0,2.0,1.0,4.0,61.0,,
16617,232104063002.0,1.0,30.0,1.0,90.0,1.0,30.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232104063.0,2.0,232104.0,23.0,2.0,1.0,4.0,63.0,,
16623,232104064001.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104064.0,1.0,232104.0,23.0,2.0,1.0,4.0,64.0,,
16629,232104064002.0,1.0,20.0,1.0,60.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104064.0,2.0,232104.0,23.0,2.0,1.0,4.0,64.0,,
16638,232104082001.0,0.0,,0.0,,0.0,,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104082.0,1.0,232104.0,23.0,2.0,1.0,4.0,82.0,,
16641,232104082002.0,0.0,,1.0,120.0,1.0,60.0,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104082.0,2.0,232104.0,23.0,2.0,1.0,4.0,82.0,,
16643,232104082003.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104082.0,3.0,232104.0,23.0,2.0,1.0,4.0,82.0,,
16645,232104082004.0,1.0,40.0,0.0,,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104082.0,4.0,232104.0,23.0,2.0,1.0,4.0,82.0,,
16648,232104083002.0,1.0,30.0,1.0,90.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104083.0,2.0,232104.0,23.0,2.0,1.0,4.0,83.0,,
16659,232104085001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104085.0,1.0,232104.0,23.0,2.0,1.0,4.0,85.0,,
16663,232104085002.0,1.0,10.0,1.0,60.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104085.0,2.0,232104.0,23.0,2.0,1.0,4.0,85.0,,
16666,232104086001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104086.0,1.0,232104.0,23.0,2.0,1.0,4.0,86.0,,
16669,232104086002.0,1.0,40.0,1.0,90.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,232104086.0,2.0,232104.0,23.0,2.0,1.0,4.0,86.0,,
16671,232104121001.0,1.0,30.0,1.0,90.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232104121.0,1.0,232104.0,23.0,2.0,1.0,4.0,121.0,,
16674,232104121002.0,1.0,40.0,1.0,60.0,1.0,60.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232104121.0,2.0,232104.0,23.0,2.0,1.0,4.0,121.0,,
16737,232202001001.0,1.0,30.0,1.0,90.0,1.0,40.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232202001.0,1.0,232202.0,23.0,2.0,2.0,2.0,1.0,,
16749,232202003001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232202003.0,1.0,232202.0,23.0,2.0,2.0,2.0,3.0,,
16756,232202003002.0,1.0,30.0,1.0,40.0,0.0,,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,232202003.0,2.0,232202.0,23.0,2.0,2.0,2.0,3.0,,
16761,232202004001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232202004.0,1.0,232202.0,23.0,2.0,2.0,2.0,4.0,,
16768,232202004002.0,1.0,30.0,1.0,90.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,232202004.0,2.0,232202.0,23.0,2.0,2.0,2.0,4.0,,
16773,232202004003.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232202004.0,3.0,232202.0,23.0,2.0,2.0,2.0,4.0,,
16784,232202005003.0,1.0,30.0,1.0,90.0,1.0,35.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232202005.0,3.0,232202.0,23.0,2.0,2.0,2.0,5.0,,
16795,232202007001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232202007.0,1.0,232202.0,23.0,2.0,2.0,2.0,7.0,,
16802,232202007002.0,1.0,60.0,1.0,90.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,232202007.0,2.0,232202.0,23.0,2.0,2.0,2.0,7.0,,
16812,232202008001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232202008.0,1.0,232202.0,23.0,2.0,2.0,2.0,8.0,,
16818,232202008002.0,1.0,30.0,1.0,120.0,1.0,30.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,232202008.0,2.0,232202.0,23.0,2.0,2.0,2.0,8.0,,
16831,232202011001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232202011.0,1.0,232202.0,23.0,2.0,2.0,2.0,11.0,,
16837,232202011002.0,1.0,30.0,1.0,90.0,1.0,60.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232202011.0,2.0,232202.0,23.0,2.0,2.0,2.0,11.0,,
16842,232202011003.0,1.0,50.0,1.0,60.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,232202011.0,3.0,232202.0,23.0,2.0,2.0,2.0,11.0,,
16843,232202011061.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232202011.0,61.0,232202.0,23.0,2.0,2.0,2.0,11.0,,
16866,232202013001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232202013.0,1.0,232202.0,23.0,2.0,2.0,2.0,13.0,,
16873,232202013002.0,1.0,20.0,1.0,90.0,1.0,30.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,232202013.0,2.0,232202.0,23.0,2.0,2.0,2.0,13.0,,
16876,232202013081.0,1.0,15.0,0.0,,0.0,,1.0,10.0,0.0,,0.0,,2009.0,,,,,,,,,,232202013.0,81.0,232202.0,23.0,2.0,2.0,2.0,13.0,,
16881,232202014001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232202014.0,1.0,232202.0,23.0,2.0,2.0,2.0,14.0,,
16887,232202014002.0,1.0,30.0,1.0,90.0,1.0,30.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,232202014.0,2.0,232202.0,23.0,2.0,2.0,2.0,14.0,,
16900,232202016001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232202016.0,1.0,232202.0,23.0,2.0,2.0,2.0,16.0,,
16907,232202016002.0,1.0,20.0,1.0,180.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232202016.0,2.0,232202.0,23.0,2.0,2.0,2.0,16.0,,
16915,232202016004.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232202016.0,4.0,232202.0,23.0,2.0,2.0,2.0,16.0,,
16924,232202018001.0,1.0,30.0,1.0,40.0,0.0,,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232202018.0,1.0,232202.0,23.0,2.0,2.0,2.0,18.0,,
16930,232202018002.0,0.0,,1.0,80.0,1.0,30.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,232202018.0,2.0,232202.0,23.0,2.0,2.0,2.0,18.0,,
16945,232202019002.0,0.0,,1.0,60.0,1.0,10.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,232202019.0,2.0,232202.0,23.0,2.0,2.0,2.0,19.0,,
16959,232202020002.0,1.0,20.0,1.0,120.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,232202020.0,2.0,232202.0,23.0,2.0,2.0,2.0,20.0,,
16984,232202081001.0,1.0,30.0,1.0,90.0,1.0,40.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,232202081.0,1.0,232202.0,23.0,2.0,2.0,2.0,81.0,,
16990,232202089001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,232202089.0,1.0,232202.0,23.0,2.0,2.0,2.0,89.0,,
16995,232202089002.0,1.0,40.0,1.0,90.0,1.0,15.0,1.0,90.0,0.0,,0.0,,2009.0,,,,,,,,,,232202089.0,2.0,232202.0,23.0,2.0,2.0,2.0,89.0,,
16999,232202101001.0,1.0,20.0,1.0,40.0,1.0,30.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,232202101.0,1.0,232202.0,23.0,2.0,2.0,2.0,101.0,,
17003,232202102001.0,0.0,,0.0,,0.0,,0.0,,1.0,4.0,0.0,,2009.0,,,,,,,,,,232202102.0,1.0,232202.0,23.0,2.0,2.0,2.0,102.0,,
17007,232202102002.0,1.0,30.0,1.0,90.0,1.0,30.0,1.0,60.0,1.0,48.0,0.0,,2009.0,,,,,,,,,,232202102.0,2.0,232202.0,23.0,2.0,2.0,2.0,102.0,,
17009,232202102003.0,1.0,15.0,0.0,,0.0,,1.0,10.0,1.0,5.0,0.0,,2009.0,,,,,,,,,,232202102.0,3.0,232202.0,23.0,2.0,2.0,2.0,102.0,,
