,e1,e2,e11c,e11d,e14a,e16a,e12,wave,e11e,e11a,e11b,e2b,e12_cln,e14a_cln,e16a_cln,hhid,commid,t1,t2,t3,t4,t5,e16a1
1253,,,,3.0,2000.0,200.0,1000.0,2009.0,,,,1.0,,,,212403009.0,212403.0,21.0,2.0,4.0,3.0,9.0,
1261,,,,10.0,15000.0,400.0,5000.0,2009.0,,,,1.0,,,,212403010.0,212403.0,21.0,2.0,4.0,3.0,10.0,
1268,,,,3.0,3000.0,400.0,1000.0,2009.0,,,,1.0,,,,212403011.0,212403.0,21.0,2.0,4.0,3.0,11.0,
1276,,,,15.0,12000.0,22000.0,5000.0,2009.0,,,,1.0,,,,212403013.0,212403.0,21.0,2.0,4.0,3.0,13.0,
1288,,,,4.0,3000.0,100.0,2000.0,2009.0,,,,1.0,,,,212403016.0,212403.0,21.0,2.0,4.0,3.0,16.0,
1305,,,,5.0,3000.0,200.0,1500.0,2009.0,,,,1.0,,,,212403020.0,212403.0,21.0,2.0,4.0,3.0,20.0,
1311,,,,6.0,5500.0,500.0,500.0,2009.0,,,,1.0,,,,212403061.0,212403.0,21.0,2.0,4.0,3.0,61.0,
1320,,,,2.0,300.0,900.0,400.0,2009.0,,,,1.0,,,,212403081.0,212403.0,21.0,2.0,4.0,3.0,81.0,
1324,,,,3.0,2000.0,600.0,1500.0,2009.0,,,,1.0,,,,212403101.0,212403.0,21.0,2.0,4.0,3.0,101.0,
1328,,,,3.0,2000.0,300.0,1000.0,2009.0,,,,1.0,,,,212403102.0,212403.0,21.0,2.0,4.0,3.0,102.0,
1331,,,,2.0,2400.0,0.0,1600.0,2009.0,,,,1.0,,,,212403121.0,212403.0,21.0,2.0,4.0,3.0,121.0,
1333,,,,2.0,2000.0,500.0,1000.0,2009.0,,,,1.0,,,,212403122.0,212403.0,21.0,2.0,4.0,3.0,122.0,
1338,,,,2.0,2000.0,200.0,400.0,2009.0,,,,1.0,,,,212403124.0,212403.0,21.0,2.0,4.0,3.0,124.0,
1350,,,,6.0,5000.0,500.0,1560.0,2009.0,,,,1.0,,,,212404004.0,212404.0,21.0,2.0,4.0,4.0,4.0,
1358,,,,4.0,6000.0,500.0,2000.0,2009.0,,,,1.0,,,,212404005.0,212404.0,21.0,2.0,4.0,4.0,5.0,
1366,,,,4.0,3000.0,300.0,1000.0,2009.0,,,,1.0,,,,212404006.0,212404.0,21.0,2.0,4.0,4.0,6.0,
1377,,,,5.0,10000.0,500.0,4500.0,2009.0,,,,1.0,,,,212404008.0,212404.0,21.0,2.0,4.0,4.0,8.0,
1385,,,,3.0,4000.0,2000.0,1000.0,2009.0,,,,1.0,,,,212404009.0,212404.0,21.0,2.0,4.0,4.0,9.0,
1392,,,,3.0,2000.0,500.0,500.0,2009.0,,,,1.0,,,,212404010.0,212404.0,21.0,2.0,4.0,4.0,10.0,
1400,,,,7.0,5000.0,120.0,1400.0,2009.0,,,,1.0,,,,212404011.0,212404.0,21.0,2.0,4.0,4.0,11.0,
1407,,,,4.0,3000.0,250.0,1200.0,2009.0,,,,1.0,,,,212404012.0,212404.0,21.0,2.0,4.0,4.0,12.0,
1415,,,,4.0,10000.0,3004.0,5000.0,2009.0,,,,1.0,,,,212404013.0,212404.0,21.0,2.0,4.0,4.0,13.0,
1423,,,,6.0,5000.0,200.0,2000.0,2009.0,,,,1.0,,,,212404014.0,212404.0,21.0,2.0,4.0,4.0,14.0,
1431,,,,5.0,5000.0,-9999.0,1000.0,2009.0,,,,1.0,,,,212404015.0,212404.0,21.0,2.0,4.0,4.0,15.0,
1436,,,,2.0,1000.0,0.0,500.0,2009.0,,,,1.0,,,,212404064.0,212404.0,21.0,2.0,4.0,4.0,64.0,
1439,,,,2.0,0.0,-9999.0,200.0,2009.0,,,,1.0,,,,212404121.0,212404.0,21.0,2.0,4.0,4.0,121.0,
1446,,,,9.0,5400.0,300.0,2000.0,2009.0,,,,1.0,,,,231103001.0,231103.0,23.0,1.0,1.0,3.0,1.0,
1451,,,,3.0,1500.0,1000.0,800.0,2009.0,,,,1.0,,,,231103002.0,231103.0,23.0,1.0,1.0,3.0,2.0,
1464,,,,14.0,5000.0,5000.0,2500.0,2009.0,,,,1.0,,,,231103004.0,231103.0,23.0,1.0,1.0,3.0,4.0,
1470,,,,18.0,12000.0,3000.0,3000.0,2009.0,,,,1.0,,,,231103005.0,231103.0,23.0,1.0,1.0,3.0,5.0,
1477,,,,10.0,3000.0,-9999.0,2000.0,2009.0,,,,1.0,,,,231103006.0,231103.0,23.0,1.0,1.0,3.0,6.0,
1484,,,,14.0,5000.0,1000.0,3000.0,2009.0,,,,1.0,,,,231103007.0,231103.0,23.0,1.0,1.0,3.0,7.0,
1490,,,,10.0,4000.0,2000.0,2000.0,2009.0,,,,1.0,,,,231103008.0,231103.0,23.0,1.0,1.0,3.0,8.0,
1496,,,,14.0,10000.0,-9999.0,3000.0,2009.0,,,,1.0,,,,231103009.0,231103.0,23.0,1.0,1.0,3.0,9.0,
1508,,,,18.0,13000.0,3000.0,3000.0,2009.0,,,,1.0,,,,231103012.0,231103.0,23.0,1.0,1.0,3.0,12.0,
1515,,,,15.0,7200.0,300.0,1800.0,2009.0,,,,1.0,,,,231103013.0,231103.0,23.0,1.0,1.0,3.0,13.0,
1547,,,,14.0,4000.0,4000.0,2500.0,2009.0,,,,1.0,,,,231103019.0,231103.0,23.0,1.0,1.0,3.0,19.0,
1556,,,,10.0,5000.0,300.0,4000.0,2009.0,,,,1.0,,,,231103081.0,231103.0,23.0,1.0,1.0,3.0,81.0,
1563,,,,8.0,11000.0,350.0,1980.0,2009.0,,,,1.0,,,,231104001.0,231104.0,23.0,1.0,1.0,4.0,1.0,
1567,,,,4.0,2000.0,500.0,500.0,2009.0,,,,1.0,,,,231104003.0,231104.0,23.0,1.0,1.0,4.0,3.0,
1572,,,,8.0,3500.0,200.0,1100.0,2009.0,,,,1.0,,,,231104004.0,231104.0,23.0,1.0,1.0,4.0,4.0,
1578,,,,17.0,30000.0,500.0,5000.0,2009.0,,,,1.0,,,,231104008.0,231104.0,23.0,1.0,1.0,4.0,8.0,
1586,,,,7.0,3000.0,1000.0,1000.0,2009.0,,,,1.0,,,,231104015.0,231104.0,23.0,1.0,1.0,4.0,15.0,
1592,,,,7.0,6000.0,400.0,1000.0,2009.0,,,,1.0,,,,231104017.0,231104.0,23.0,1.0,1.0,4.0,17.0,
1595,,,,14.0,4000.0,500.0,2000.0,2009.0,,,,1.0,,,,231104018.0,231104.0,23.0,1.0,1.0,4.0,18.0,
1601,,,,8.0,4000.0,4000.0,2000.0,2009.0,,,,1.0,,,,231104061.0,231104.0,23.0,1.0,1.0,4.0,61.0,
1610,,,,1.0,2000.0,1000.0,-999.0,2009.0,,,,1.0,,,,231203007.0,231203.0,23.0,1.0,2.0,3.0,7.0,
1619,,,,4.0,30000.0,600.0,0.0,2009.0,,,,1.0,,,,231203013.0,231203.0,23.0,1.0,2.0,3.0,13.0,
1622,,,,9.0,80000.0,1800.0,,2009.0,,,,1.0,,,,231203015.0,231203.0,23.0,1.0,2.0,3.0,15.0,
1626,,,,6.0,,500.0,,2009.0,,,,1.0,,,,231203016.0,231203.0,23.0,1.0,2.0,3.0,16.0,
1629,,,,3.0,30000.0,500.0,,2009.0,,,,1.0,,,,231203017.0,231203.0,23.0,1.0,2.0,3.0,17.0,
1633,,,,7.0,500.0,300.0,90.0,2009.0,,,,1.0,,,,231203018.0,231203.0,23.0,1.0,2.0,3.0,18.0,
1637,,,,3.0,2000.0,700.0,1000.0,2009.0,,,,1.0,,,,231203019.0,231203.0,23.0,1.0,2.0,3.0,19.0,
1640,,,,1.0,2000.0,500.0,120.0,2009.0,,,,1.0,,,,231203020.0,231203.0,23.0,1.0,2.0,3.0,20.0,
1644,,,,8.0,50000.0,4000.0,5000.0,2009.0,,,,1.0,,,,231203063.0,231203.0,23.0,1.0,2.0,3.0,63.0,
1653,,,,5.0,4000.0,500.0,2000.0,2009.0,,,,1.0,,,,231204001.0,231204.0,23.0,1.0,2.0,4.0,1.0,
1665,,,,3.0,3000.0,400.0,1200.0,2009.0,,,,1.0,,,,231204005.0,231204.0,23.0,1.0,2.0,4.0,5.0,
1671,,,,3.0,12000.0,5000.0,5000.0,2009.0,,,,1.0,,,,231204006.0,231204.0,23.0,1.0,2.0,4.0,6.0,
1685,,,,8.0,20000.0,600.0,7000.0,2009.0,,,,1.0,,,,231204010.0,231204.0,23.0,1.0,2.0,4.0,10.0,
