,wave,hhid,hhbus,hhbusimp,hhfarm,hhfarmimp,hhfish,hhfishimp,hhgardimp,hhgard,hhlvst,hhlvstimp,hhothr,hhothrimp,hhsub,hhsubimp,hhretire,hhretireimp,hhnrwage,hhnrwageimp,hhinc,hhincgross,hhexpense,hhincimp,commid,t1,urban,t6_a,t6_b,hhsize,hhinc_pc,cpi1988,cpi2015,index_new,index_old,hhinc_cpi,hhincpc_cpi,hhincgross_cpi,hhexpense_cpi
27760,2009.0,211104014.0,,,,,,,,,,,,,450.0,0.0,0.0,0.0,28650.0,0.0,29100.0,29100.0,0.0,0.0,211104.0,21.0,0.0,4.0,0.0,4.0,7275.0,2.52,0.74,0.74,2.52,39324.32432432433,9831.081081081082,39324.32432432433,0.0
27761,2009.0,211104016.0,39600.0,0.0,,,,,,,,,300.0,0.0,,,25200.0,0.0,400.0,0.0,65500.0,73900.0,8400.0,0.0,211104.0,21.0,0.0,5.0,0.0,5.0,13100.0,2.52,0.74,0.74,2.52,88513.51351351352,17702.702702702703,99864.86486486487,11351.351351351352
27762,2009.0,211104017.0,,,7950.0,0.0,,,0.0,35550.0,,,4720.0,0.0,,,168948.0,0.0,,0.0,217168.0,223368.0,6200.0,0.0,211104.0,21.0,0.0,2.0,0.0,2.0,108584.0,2.52,0.74,0.74,2.52,293470.2702702703,146735.13513513515,301848.64864864864,8378.378378378378
27763,2009.0,211104019.0,,,,,,,,,,,200.0,0.0,200.0,0.0,0.0,0.0,8400.0,0.0,8800.0,8800.0,0.0,0.0,211104.0,21.0,0.0,2.0,1.0,3.0,2933.3333333333335,2.52,0.74,0.74,2.52,11891.891891891892,3963.963963963964,11891.891891891892,0.0
27764,2009.0,211104020.0,9600.0,0.0,,,,,,,,,,,,,,,,,9600.0,12000.0,2400.0,0.0,211104.0,21.0,0.0,1.0,2.0,3.0,3200.0,2.52,0.74,0.74,2.52,12972.972972972973,4324.324324324324,16216.216216216217,3243.2432432432433
27765,2009.0,211104063.0,,,,,,,,,,,50.0,0.0,,,0.0,0.0,19200.0,0.0,19250.0,19250.0,0.0,0.0,211104.0,21.0,0.0,4.0,1.0,5.0,3850.0,2.52,0.74,0.74,2.52,26013.513513513513,5202.7027027027025,26013.513513513513,0.0
27766,2009.0,211104081.0,12000.0,0.0,,,,,,,,,,,120.0,0.0,0.0,0.0,22250.0,0.0,34370.0,46370.0,12000.0,0.0,211104.0,21.0,0.0,3.0,0.0,3.0,11456.666666666666,2.52,0.74,0.74,2.52,46445.94594594595,15481.981981981982,62662.16216216216,16216.216216216217
27767,2009.0,211104121.0,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,14200.0,0.0,15200.0,15200.0,0.0,0.0,211104.0,21.0,0.0,2.0,0.0,2.0,7600.0,2.52,0.74,0.74,2.52,20540.54054054054,10270.27027027027,20540.54054054054,0.0
27768,2009.0,211104122.0,,,,0.0,,,,,,,7000.0,0.0,120.0,0.0,0.0,0.0,27000.0,0.0,34120.0,34120.0,0.0,0.0,211104.0,21.0,0.0,3.0,0.0,3.0,11373.333333333334,2.52,0.74,0.74,2.52,46108.10810810811,15369.369369369371,46108.10810810811,0.0
27769,2009.0,211104123.0,12000.0,0.0,,,,,,,,,,,,,0.0,0.0,12000.0,0.0,24000.0,24000.0,0.0,0.0,211104.0,21.0,0.0,2.0,0.0,2.0,12000.0,2.52,0.74,0.74,2.52,32432.432432432433,16216.216216216217,32432.432432432433,0.0
27770,2009.0,211104124.0,,,,,,,,,,,,,220.0,0.0,0.0,0.0,13200.0,0.0,13420.0,13420.0,0.0,0.0,211104.0,21.0,0.0,3.0,0.0,3.0,4473.333333333333,2.52,0.74,0.74,2.52,18135.135135135137,6045.045045045044,18135.135135135137,0.0
27771,2009.0,211201130.0,,,,,,,,,,,,,,,10800.0,0.0,,0.0,10800.0,10800.0,0.0,0.0,211201.0,21.0,1.0,2.0,0.0,2.0,5400.0,2.91,0.85,0.85,2.91,12705.882352941177,6352.941176470588,12705.882352941177,0.0
