,hhid,idind,wave,indbusimp,indbus,indfarmimp,indfarm,indfishimp,indfish,indgardimp,indgard,indlvstimp,indlvst,indret,indretimp,indwage,indwageimp,indinc,indincimp,commid,t1,urban,cpi1988,cpi2015,index_new,index_old,indinc_cpi
60289,211203005.0,211203005001.0,2009.0,,,,,,,,,,,26400.0,0.0,,,26400.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,35675.67567567567
60290,211203005.0,211203005002.0,2009.0,,,,,,,,,,,22800.0,0.0,,,22800.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,30810.81081081081
60291,211203005.0,211203005005.0,2009.0,,,,,,,,,,,,,14400.0,0.0,14400.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,19459.45945945946
60292,211203005.0,211203005081.0,2009.0,,,,,,,,,,,,,19200.0,0.0,19200.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,25945.945945945947
60293,211203006.0,211203006003.0,2009.0,,,,,,,,,,,,,7200.0,0.0,7200.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,9729.72972972973
60294,211203006.0,211203006005.0,2009.0,,,,,,,,,,,,,12000.0,0.0,12000.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,16216.216216216217
60295,211203007.0,211203007002.0,2009.0,,,,,,,,,,,14400.0,0.0,,,14400.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,19459.45945945946
60296,211203009.0,211203009001.0,2009.0,,,,,,,,,,,,,31000.0,0.0,31000.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,41891.89189189189
60297,211203009.0,211203009002.0,2009.0,,,,,,,,,,,10800.0,0.0,36000.0,0.0,46800.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,63243.24324324325
60298,211203010.0,211203010001.0,2009.0,,,,,,,,,,,67200.0,0.0,,,67200.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,90810.81081081081
